phrase,is_price
"[Lowest] GoPro HERO10 Black  Waterproof Action Camera with Touch Screen 5K Ultra HD Video @ 35800

https://amzn.to/3X8uCQY

Rs.40K+ ON ALL SITES",1
"Apply Rs.24000 Off Coupon : Microsoft Surface Pro8-13/13cm Touch Screen - i5/8GB RAM/256 GB SSD @ 76,990

https://amzn.to/3X8tiNT",1
Fast 1899 https://amzn.to/3jRqpTg,1
"Cello Fountain Plastic Insulated Water Jug 15L @ 796

https://amzn.to/3idhJpX",1
"Revolving Chair @2802.

https://amzn.to/3Isz88G",1
"18+ Deal : Manforce Loot 

237 https://amzn.to/3GO7h1L",1
"18+ Deal :  Manforce Lube, Lubrication Gel 60ml x pack of 5@ 285

https://amzn.to/3GDQrlX",1
"The Man Company : Everything at Rs.99

https://bit.ly/3ClWpFk",1
"Star X Hexa Pvc 1Kg Fixed Dumbbell Set For Home Gym Workout, Dumbells For Fitness (Black Hexa 1Kg X 2 Dumbbell (2Kg)) @ 86 

https://amzn.to/3CmPdZO",1
"https://amzn.to/3Ilsr8i

Kids T-Shirts (Pack of 5) Starts at Rs 310",1
"The Vertical 22 Ltrs Grey And Black Casual Backpack (Zest) @ 469 

https://amzn.to/3ImnzzO",1
"Vaseline Body Lotion 400 ml@187

https://amzn.to/3IdQJBj",1
"Loot 509

https://amzn.to/3GCwsE5",1
"Solimo Plastic Cut & Wash Vegetable Cutter @ 164.

https://amzn.to/3icg0kE",1
"Pack of 2 @305

All Sizes : https://amzn.to/3vxZC10",1
"ASUS VivoBook K15 OLED (2022) Ryzen 5 Hexa Core AMD R5-5500U - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) KM513UA-L502WS Thin and Light Laptop on Flipkart @ 50341

https://bit.ly/3vyFD26",1
"Loot : Buy Max Qty

Loot : Whisper Ultra Clean XL+ Hygiene & Comfort Sanitary Pad XL 60 Pads @204

Buy Maximum 5 Quantity 

https://bit.ly/3vTgwrb",1
"Double Bedsheet with 2 King Size Pillow Covers @ 229

https://amzn.to/3GbJh6T",1
